Date,Adj Close
2012-04-25,11334.45
2012-04-26,11361.38
2012-04-27,11479.74
2012-04-30,11417.59
2012-05-01,11503.86
2012-05-02,11475.89
2012-05-03,11483.31
2012-05-04,11156.22
2012-05-08,10872.50
2012-05-09,10788.16
2012-05-10,10943.40
2012-05-11,11016.41
2012-05-14,10813.60
2012-05-15,10722.49
2012-05-16,10675.30
2012-05-17,10592.94
2012-05-18,10431.90
2012-05-21,10435.51
2012-05-22,10579.52
2012-05-23,10375.72
2012-05-24,10472.48
2012-05-25,10417.52
2012-05-28,10515.28
2012-05-29,10657.87
2012-05-30,10494.82
2012-05-31,10558.22
2012-06-01,10346.71
2012-06-06,10583.76
2012-06-07,10745.12
2012-06-08,10698.95
2012-06-11,10658.24
2012-06-12,10561.16
2012-06-13,10538.59
2012-06-14,10574.63
2012-06-15,10729.65
2012-06-18,10721.44
2012-06-19,10870.93
2012-06-20,11022.81
2012-06-21,10944.66
2012-06-22,10823.86
2012-06-25,10671.42
2012-06-26,10665.37
2012-06-27,10751.98
2012-06-28,10688.29
2012-06-29,10932.13
2012-07-02,11093.47
2012-07-03,11189.81
2012-07-04,11161.21
2012-07-05,11130.87
2012-07-06,11070.64
2012-07-09,10983.34
2012-07-10,11065.49
2012-07-11,10967.78
2012-07-12,10924.05
2012-07-13,11043.83
2012-07-16,11075.26
2012-07-17,11019.23
2012-07-18,11085.68
2012-07-19,11242.50
2012-07-20,11168.85
2012-07-23,10896.91
2012-07-24,10885.94
2012-07-25,10873.42
2012-07-26,11039.52
2012-07-27,11179.01
2012-07-30,11238.91
2012-07-31,11136.69
2012-08-01,11186.19
2012-08-02,11076.61
2012-08-03,11301.14
2012-08-06,11426.40
2012-08-07,11460.94
2012-08-08,11436.44
2012-08-09,11464.03
2012-08-10,11470.75
2012-08-13,11436.81
2012-08-14,11504.30
2012-08-15,11498.12
2012-08-16,11502.29
2012-08-17,11618.10
2012-08-20,11563.27
2012-08-21,11639.47
2012-08-22,11494.35
2012-08-23,11466.54
2012-08-24,11449.06
2012-08-28,11375.24
2012-08-29,11387.69
2012-08-30,11325.91
2012-08-31,11410.19
2012-09-03,11503.13
2012-09-04,11428.84
2012-09-05,11446.07
2012-09-06,11676.44
2012-09-07,11808.01
2012-09-10,11841.50
2012-09-11,11780.42
2012-09-12,11811.05
2012-09-13,11846.53
2012-09-14,12116.12
2012-09-17,12080.88
2012-09-18,11933.70
2012-09-19,11974.19
2012-09-20,11928.98
2012-09-21,11950.03
2012-09-24,11903.11
2012-09-25,11931.43
2012-09-26,11737.88
2012-09-27,11754.40
2012-09-28,11734.10
2012-10-01,11867.48
2012-10-02,11894.41
2012-10-03,11872.73
2012-10-04,11954.42
2012-10-05,12061.35
2012-10-08,11974.63
2012-10-09,11911.76
2012-10-10,11828.32
2012-10-11,11898.39
2012-10-12,11838.26
2012-10-15,11855.67
2012-10-16,11985.30
2012-10-17,12045.88
2012-10-18,12071.25
2012-10-19,12074.30
2012-10-22,12040.01
2012-10-23,11891.11
2012-10-24,11862.66
2012-10-25,11972.15
2012-10-26,11925.93
2012-10-29,11920.65
2012-10-30,11954.25
2012-10-31,11934.95
2012-11-01,12091.83
2012-11-02,12120.83
2012-11-05,12030.46
2012-11-06,12081.55
2012-11-07,11961.32
2012-11-08,11895.66
2012-11-09,11842.42
2012-11-12,11803.30
2012-11-13,11797.22
2012-11-14,11718.65
2012-11-15,11683.50
2012-11-16,11576.98
2012-11-19,11744.79
2012-11-20,11820.83
2012-11-21,11783.32
2012-11-22,11861.74
2012-11-23,11888.93
2012-11-26,11843.60
2012-11-27,11867.18
2012-11-28,11890.61
2012-11-29,12026.57
2012-11-30,12034.22
2012-12-03,12027.44
2012-12-04,12053.26
2012-12-05,12103.11
2012-12-06,12149.23
2012-12-07,12187.56
2012-12-10,12178.15
2012-12-11,12190.58
2012-12-12,12224.31
2012-12-13,12211.57
2012-12-14,12244.24
2012-12-17,12218.58
2012-12-18,12293.25
2012-12-19,12402.41
2012-12-20,12422.77
2012-12-21,12362.38
2012-12-24,12395.80
2012-12-27,12397.68
2012-12-28,12359.73
2012-12-31,12374.97
2013-01-02,12611.85
2013-01-03,12651.25
2013-01-04,12694.90
2013-01-07,12721.99
2013-01-08,12635.01
2013-01-09,12709.06
2013-01-10,12730.78
2013-01-11,12797.83
2013-01-14,12759.14
2013-01-15,12774.79
2013-01-16,12763.64
2013-01-17,12847.61
2013-01-18,12946.12
2013-01-21,12994.94
2013-01-22,12958.14
2013-01-23,12934.40
2013-01-24,13066.44
2013-01-25,13136.10
2013-01-28,13132.49
2013-01-29,13107.56
2013-01-30,13046.54
2013-01-31,13030.49
2013-02-01,13275.76
2013-02-04,13177.02
2013-02-05,13242.77
2013-02-06,13341.60
2013-02-07,13300.65
2013-02-08,13375.25
2013-02-11,13373.63
2013-02-12,13476.01
2013-02-13,13602.99
