Date,Adj Close,,
18/02/2008,"5,946.62",,
15/02/2008,"5,787.61",,
14/02/2008,"5,879.30",,
13/02/2008,"5,880.06",,
12/02/2008,"5,909.97",,
11/02/2008,"5,707.69",,
08/02/2008,"5,784.01",,
07/02/2008,"5,724.12",,
06/02/2008,"5,875.37",,
05/02/2008,"5,868.03",,
04/02/2008,"6,026.21",,
01/02/2008,"6,029.18",,
31/01/2008,"5,879.78",,
30/01/2008,"5,837.31",,
29/01/2008,"5,885.24",,
28/01/2008,"5,788.85",,
25/01/2008,"5,868.96",,
24/01/2008,"5,875.81",,
23/01/2008,"5,609.35",,
22/01/2008,"5,740.11",,
21/01/2008,"5,578.23",,
18/01/2008,"5,901.70",,
17/01/2008,"5,902.41",,
16/01/2008,"5,942.88",,
15/01/2008,"6,025.58",,
14/01/2008,"6,215.69",,
11/01/2008,"6,202.04",,
10/01/2008,"6,222.69",,
09/01/2008,"6,272.70",,
08/01/2008,"6,356.49",,
07/01/2008,"6,335.67",,
04/01/2008,"6,348.52",,
03/01/2008,"6,479.44",,
02/01/2008,"6,416.68",,
31/12/2007,"6,456.91",,
28/12/2007,"6,476.89",,
27/12/2007,"6,497.83",,
24/12/2007,"6,479.32",,
21/12/2007,"6,434.08",,
20/12/2007,"6,345.56",,
19/12/2007,"6,284.54",,
18/12/2007,"6,279.29",,
17/12/2007,"6,277.82",,
14/12/2007,"6,396.96",,
13/12/2007,"6,364.20",,
12/12/2007,"6,559.80",,
11/12/2007,"6,536.86",,
10/12/2007,"6,565.37",,
07/12/2007,"6,554.94",,
06/12/2007,"6,485.63",,
05/12/2007,"6,493.80",,
04/12/2007,"6,315.21",,
03/12/2007,"6,386.57",,
30/11/2007,"6,432.45",,
29/11/2007,"6,349.11",,
28/11/2007,"6,306.24",,
27/11/2007,"6,140.66",,
26/11/2007,"6,180.48",,
23/11/2007,"6,262.11",,
22/11/2007,"6,155.31",,
21/11/2007,"6,070.87",,
20/11/2007,"6,226.51",,
19/11/2007,"6,120.81",,
16/11/2007,"6,291.18",,
15/11/2007,"6,359.58",,
14/11/2007,"6,432.12",,
13/11/2007,"6,362.35",,
12/11/2007,"6,337.90",,
09/11/2007,"6,304.88",,
08/11/2007,"6,381.87",,
07/11/2007,"6,385.10",,
06/11/2007,"6,474.93",,
05/11/2007,"6,461.43",,
